カード名,色,レアリティ,分類,タイプ,コアコスト,コア総量,生成コア,ＡＴＫ,ＨＰ,コアレシオ,効果1,効果2,効果3,効果4,補足,画像ファイル名,読み
黒衣の剣士 ドリス,黒,レア,エピック・ユニット,メーガス・剣士・無頼,(2)(黒),3,1,1000,1000,0.67,１人以上のプレイヤーがそれぞれちょうど５００のライフを失うたび：これの上に＋５００/＋５００カウンター１個を置く。,-,-,-,複数人が同時にライフを失った場合は１度のみ誘発。戦闘ダメージは同時に受けるため２体以上で攻撃しても一度のみ誘発。,b_kokui_no_kenshi_doris.png,こくいのけんしどりす
邪眼師 ウィンヘル,黒,アンコモン,エピック・ユニット,人間・変種・無頼,(2)(黒),3,1,1000,1000,0.67,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,触死（これがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,対戦相手がドラゴンをコントロールしているかぎり、これはダメージを受けず、残心を得る。（残心を持つユニットは攻撃に参加しても疲労しない。）,-,-,b_jaganshi_winhel.png,じゃがんしうぃんへる
猜忌溟壊の朽骨 グウェドローフ,黒,レジェンド,エピック・ユニット,レヴナント・ドラゴン,(2)(黒)(黒),4,0,3000,3000,1.50,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,あなたのターンの開始時：あなたは死兆カウンター２個を得る。（１０個以上の死兆カウンターを持っているプレイヤーはこのゲームに敗北する。）,対戦相手がコントロールしているユニット１体が死亡するたび：あなたは死兆カウンター１個を得る。,-,エクシード。自分が敗北する特殊敗北条件を持つ。飛行や対空を持たないチャンプブロックはすり抜けられる。,b_saikimeikai_no_kyukotsu_gwaed_lobhadh_v1.png,さいきめいかいのきゅうこつぐうぇどろーふ
クルエル・インフェナル,黒,コモン,ユニット,インフェナル,(3)(黒),4,1,2000,1500,0.88,-,-,-,-,バニラ,b_cruel_infernal.png,くるえるいんふぇなる
禍津餓者髑髏,黒,アンコモン,ユニット,スケルトン・妖怪,(5)(黒)(黒),7,1,2500,2500,0.71,対空（これは飛行を持つユニットを防御できる。）,脅威（これは２体以上のユニットによってしか防御されない。）,これが登場した時：ターン終了時まで、対戦相手がコントロールしているすべてのユニットは－１０００/－１０００の変動を受ける。,-,ＨＰ２以下の相手のユニットを一掃できる。,b_magatsu_gashadokuro.png,まがつがしゃどくろ
不公平な取り引き,黒,コモン,マジック,-,(黒),1,1,-,-,,各対戦相手はそれぞれカード１枚を捨て、５００のライフを失う。,-,-,-,-,b_fukouhei_na_torihiki.png,ふこうへいなとりひき
埋葬失敗,黒,アンコモン,マジック,-,(2)(黒),3,1,-,-,,あなたの墓地にあるユニット・カード１枚を対象とする。それをバトルゾーンに戻す。あなたはそのコア総量✕５００のライフを失う。,-,-,-,-,b_maisou_shippai.png,まいそうしっぱい
復活の儀式,黒,レア,マジック,-,(2)(黒)(黒)(黒),5,0,-,-,,あなたの墓地にあるカードのうち、望む数のユニット・カードをコア総量の合計がＸ以下になるように選び、バトルゾーンに戻す。Ｘはあなたの初期ライフからあなたのライフを引いた点数÷５００の値に等しい。,-,-,-,エクシード。,b_fukkatsu_no_gishiki.png,ふっかつのぎしき
呪殺,黒,コモン,フラッシュ,-,(1)(黒),2,1,-,-,,ユニット１体を対象とする。それを破壊する。あなたはそのコア総量✕５００のライフを失う。,-,-,-,-,b_jusatsu.png,じゅさつ
棘の拷問,黒,コモン,エフェクト,リンク,(黒),1,1,-,-,,エフェクト（コア総量が３以下であるユニット）,エフェクトを受けているユニットは－１０００/－１０００の変動を受ける。,あなたのメインフェイズ１の開始時：エフェクトを受けているユニットの上に－５００/－５００カウンター１個を置く。,-,-,b_toge_no_goumon.png,とげのごうもん
モラミナ・ラント,無,コモン,ユニット,モラミナ,(0),0,0,0,500,,これが登場した時：あなたのデッキの一番上にあるカード２枚を追放する。,-,-,-,エクシード。,c_moramina_runt.png,もらみならんと
針脚甲・キュクロス,無,コモン,ユニット,アキュレー,(1),1,1,0,500,0.50,これを召喚するための追加コストとしてユニット１体を生け贄に捧げるなら、これを即時を持っているかのように召喚してもよい。（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,これが死亡した時：あなたは(1)を支払ってもよい。そうした場合、カード１枚を引く。,-,-,-,c_aculei_cyclos.png,あきゅれーきゅくろす
モラミナ・ハウンド,無,コモン,ユニット,モラミナ,(2),2,1,500,500,0.50,あなたのターンの終了時：あなたのデッキの一番上にあるカード３枚を追放する。,-,-,-,-,c_moramina_hound.png,もらみなはうんど
針脚甲・タナトス,無,アンコモン,ユニット,アキュレー,(3),3,1,1000,500,0.50,これを召喚するための追加コストとしてユニット１体を生け贄に捧げるなら、これを即時を持っているかのように召喚してもよい。（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,これが死亡した時：対戦相手がコントロールしていてコア総量が２以下であるユニット１体を対象とする。それを破壊する。,-,-,-,c_aculei_thanatos.png,あきゅれーたなとす
鎧モラミナ,無,コモン,ユニット,モラミナ,(4),4,1,1500,1000,0.63,あなたのターンの終了時：あなたのデッキの一番上にあるカード２枚を追放する。,-,-,-,-,c_yoroi_moramina.png,よろいもらみな
針脚体・アノマリア,無,アンコモン,ユニット,アキュレー,(5),5,1,1500,1500,0.60,これを召喚するための追加コストとしてユニット１体を生け贄に捧げるなら、これを即時を持っているかのように召喚してもよい。（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,これが死亡した時：無色の０/５００のアキュレー・ユニット・トークン３体を生成する。それらは「これが死亡した時：あなたは(1)を支払ってもよい。そうした場合、カード１枚を引く。」を持つ。,-,-,-,c_aculei_anomalia.png,あきゅれーあのまりあ
玲瓏なる層骨 ゼノヴォール,無,レア,エピック・ユニット,モラミナ,(10),10,0,3000,2500,0.55,あなたが持ち主であり追放されているユニット・カード１種類につき、これを召喚するためのコストは(1)少なくなる。,あなたのターンの終了時：あなたのデッキの一番上にあるカード４枚を追放する。,これが召喚されていた場合：これは「これが登場するか攻撃するたび：これでないユニット最大１体を対象とする。それを疲労状態で持ち主の結晶ゾーンに置く。」を持つ。,-,エクシード。効果3は相手にコア加速を許すが、エクシードカードに対してはそのリスクは無い。,c_reirou_naru_soukotsu_xenovoll.png,れいろうなるそうこつぜのゔぉーる
無形シルバーウーズ,無,コモン,オルガノン・ユニット,ゴーレム,(2),2,1,500,500,0.50,(4)：これの上に＋５００/＋５００カウンター１個を置く。,-,-,-,-,c_mukei_silver_ooze.png,むけいしるばーうーず
先史古跡の番兵,無,コモン,オルガノン・ユニット,オートマトン・兵士,(2),2,1,500,1500,1.00,(3)：これを活性化させる。,-,-,-,-,c_senshi_koseki_no_banpei.png,せんしこせきのばんぺい
変化の杖,無,アンコモン,オルガノン,-,(3),3,1,-,-,,これはストックカウンター３個が置かれた状態で登場する。,"(2),(T),これの上からストックカウンター１個を取り除く：ユニット１体を対象とする。それはターン終了時まで不壊を失う。それを破壊する。それのコントローラーは無色の１５００/１５００の変成獣・ユニット・トークン１体を生成する。起動はマジック・タイミングでのみ行う。",-,-,３回まで使える除去。ただしとにかくコストが重く、相手の場にそれなりに大きいユニットを出してしまう為、考え無しでは使えない。,c_henge_no_tsue.png,へんげのつえ
魔性のフォンターナ,無,レア,オルガノン,-,(3),3,1,-,-,,あなたがコントロールしていてオルガノンや結晶であるすべては「(T)：好きな色１色のコア１点をコア・プールに加える。」を持つ。,"(T),１点のライフを支払う：好きな色１色のコア１点をコア・プールに加える。",-,-,-,c_mashou_no_fontana.png,ましょうのふぉんたーな
ダガーナイフ,無,コモン,オルガノン,装備品,(1),1,1,-,-,,装備しているユニットは＋５００/＋０の変動を受ける。,装備(1)（(1)：あなたがコントロールしているユニット１体を対象とし、これをそれにつける。起動はマジック・タイミングでのみ行う。）,-,-,-,c_dagger_knife.png,だがーないふ
星河無天の杖,無,アンコモン,オルガノン,装備品,(1),1,1,-,-,,装備しているユニットは「(T)：(◇)をコア・プールに加える。」持つ。,"(6),(T),装備しているユニットとこれを生け贄に捧げる：ユニット１体を対象とする。それを破壊する。",装備(3)（(3)：あなたがコントロールしているユニット１体を対象とし、これをそれにつける。起動はマジック・タイミングでのみ行う。）,-,-,c_seigamuten_no_tsue.png,せいがむてんのつえ
呪血の鎌,無,コモン,オルガノン,装備品,(2),2,1,-,-,,装備しているユニットは触死を持つ。（それがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,装備(2)（(2)：あなたがコントロールしているユニット１体を対象とし、これをそれにつける。起動はマジック・タイミングでのみ行う。）,-,-,-,c_juketsu_no_kama.png,きゅうけつのかま
救世の剣,無,レジェンド,05エピック・オルガノン,装備品,(3),3,1,-,-,,装備しているユニットは＋５００/＋５００の変動を受ける。それがエピック・ユニットである場合、それは追加で＋１５００/＋５００の変動を受ける。それが戦士や剣士である場合、それは先制攻撃を持つ。（それは先制攻撃を持たないユニットよりも先に戦闘ダメージを与える。）,装備(3)（(3)：あなたがコントロールしているユニット１体を対象とし、これをそれにつける。起動はマジック・タイミングでのみ行う。）,-,-,-,c_kyuusei_no_ken.png,きゅうせいのけん
嗜虐的な魔女 ウルギル,多,レア,エピック・ユニット,メーガス・無法者,(2)(赤)(黒),4,1,0,1500,0.38,プレイヤー１人がカード１枚を捨てるたび：これの上に＋５００/＋５００カウンター１個を置く。,これの上に－５００/－５００カウンター１個を置く：これでない各ユニットと各プレイヤーにそれぞれ５００のダメージを与える。,-,-,-,multi_shigyakuteki_na_majo_ulgil.png,しぎゃくてきなまじょうるぎる
桃源郷のテミリオーラ,多,レア,エピック・ユニット,人間・魔術師・無法者,(3)(青)(黒),5,1,1500,2500,0.80,対戦相手１人がユニット・カードやエフェクト・カードやオルガノン・カード１枚を生け贄に捧げるか捨てるたび：あなたは墓地からそのカードをあなたのコントロール下でバトルゾーンに置いてもよい。,-,-,-,優秀だが単体では効果は発動せず他のカードとのコンボ頼り。破壊などの生け贄以外の方法による死亡は対象外。追放も対象外。,multi_tougenkyou_no_temiliora.png,とうげんきょうのてみりおーら
無極の拳撃 金剛佰鬼,多,レア,エピック・ユニット,鬼・妖怪,(4)(緑)(白),6,1,2500,2500,0.83,対空（これは飛行を持つユニットを防御できる。）,あなたがライフを得るたび：ターン終了時まで、これは不壊を得る。（ダメージや「破壊」と書かれた効果では、これは破壊されない。）,カード１枚を捨てる：１０００のライフを得る。,-,手札１枚を捨てることで不壊も得る自己完結しているユニット。,multi_mugoku_no_kengeki_kongou_hyakki.png,むごくのけんげきこんぎょうひゃっき
灼滅のグリムグワイド,多,レジェンド,エピック・ユニット,オーガ・戦士,(5)(赤)(緑),7,1,4000,3500,1.07,抑縛(1)(赤)(緑)（あなたはこれのコストを支払うのではなく抑縛コストを支払うことを選んでもよい。そうした場合、これは抑縛状態となる。）,これが抑縛状態である場合、これは－５００/－５００カウンター５個が置かれた状態で登場する。,これが攻撃するたび：これの上から－５００/－５００カウンター１個を取り除く。そうした場合、(赤)か(緑)をコア・プールに加える。取り除けなかった場合、(赤)(赤)(緑)(緑)をコア・プールに加える。,-,-,multi_shakumetsu_no_grym_gwaed.png,しゃくめつのぐりむわいど
ヴェイルリングの双星,多,アンコモン,マジック,-,(2)(緑)(黒),4,1,-,-,,先制攻撃を持つ緑である黒である１５００/１０００のダークエルフ・剣士・ユニット・トークン１体と、触死を持つ緑である黒である５００/１０００のダークエルフ・魔術師・ユニット・トークン１体を生成する。（先制攻撃を持つユニットは先制攻撃を持たないユニットよりも先に戦闘ダメージを与える。）（触死を持つユニットがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,-,-,-,-,multi_veil_ring_no_sousei.png,ゔぇいるりんぐのそうせい
極彩鳥の軌跡,多,アンコモン,マジック,-,(赤)(緑)(青)(白)(黒),5,1,-,-,,抑縛(3)（あなたはこれのコストを支払うのではなく抑縛コストを支払うことを選んでもよい。そうした場合、これは抑縛状態となる。）,カード３枚を引く。これが抑縛状態である場合、代わりにカード１枚を引く。,-,-,５色結晶としての運用が本命。,multi_gokusai_chou_no_kiseki.png,ごくさいちょうのきせき
コボルト・ユニット・トークン１,赤,なし,トークン・ユニット,コボルト,なし,0,0,500,500,,-,-,-,-,-,t_r_kobold_v1,こぼるとゆにっととーくん１
コボルト・ユニット・トークン２,赤,なし,トークン・ユニット,コボルト,なし,0,0,500,500,,-,-,-,-,-,t_r_kobold_v2,こぼるとゆにっととーくん２
戦士・ユニット・トークン,赤,なし,トークン・ユニット,戦士,なし,0,0,500,500,,-,-,-,-,-,t_r_senshi,せんしゆにっととーくん
兵士・ユニット・トークン,白,なし,トークン・ユニット,兵士,なし,0,0,500,500,,-,-,-,-,-,t_w_heishi,へいしゆにっととーくん
ゾンビ・ユニット・トークン,黒,なし,トークン・ユニット,ゾンビ,なし,0,0,500,500,,-,-,-,-,-,t_b_zombie,ぞんびゆにっととーくん
ウイルス・エフェクト・トークン,黒,なし,トークン・エフェクト,ウイルス,なし,0,0,-,-,,あなたのターンの開始時：あなたは死兆カウンター１個を得る。（１０個以上の死兆カウンターを持っているプレイヤーはこのゲームに敗北する。）,-,-,-,-,t_b_virus,ういるすゆにっととーくん
アキュレー・ユニット・トークン,無,なし,トークン・ユニット,アキュレー,なし,0,0,0,500,,これが死亡した時：あなたは(1)を支払ってもよい。そうした場合、カード１枚を引く。,-,-,-,-,t_c_aculei,あきゅれーゆにっととーくん
変成獣・ユニット・トークン,無,なし,トークン・ユニット,変成獣,なし,0,0,1500,1500,,-,-,-,-,-,t_c_henseijuu,へんせいじゅうゆにっととーくん
ダークエルフ・剣士・ユニット・トークン,多,なし,トークン・ユニット,ダークエルフ・剣士,なし,0,0,1500,1000,,先制攻撃（これは先制攻撃を持たないユニットよりも先に戦闘ダメージを与える。）,-,-,-,-,t_multi_dark_elf_kenshi,だーくえるふけんしゆにっととーくん
ダークエルフ・魔術師・ユニット・トークン,多,なし,トークン・ユニット,ダークエルフ・魔術師,なし,0,0,500,1000,,触死（これがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,-,-,-,-,t_multi_dark_elf_majutsushi,だーくえるふまじゅつしゆにっととーくん
